codigo_ibge_origin,latitude_origin,longitude_origin,codigo_uf_origin,codigo_ibge_destination,latitude_destination,longitude_destination,codigo_uf_destination
5200050,-16.7573,-49.4412,52,1701002,-63.6437,-48.0735,17
3100104,-18.4831,-47.3916,31,1500800,-13.6391,-48.3743,15
5200100,-16.197,-48.7057,52,5201108,-16.3281,-48.953,52
3100203,-19.1551,-45.4444,31,1500859,-34.6985,-51.2003,15
1500107,-17.2183,-48.8788,15,2100808,-36.7577,-43.1014,21
2300101,-73.4588,-39.0416,23,5000708,-20.4823,-55.8104,50
2900108,-13.2488,-41.6619,29,5000807,-22.1852,-52.7191,50
2900207,-87.2073,-39.1162,29,4200804,-26.5382,-53.3319,42
4100103,-23.3049,-50.3133,41,3200409,-20.7955,-40.6425,32
4200051,-27.6126,-51.0233,42,2901304,-12.8049,-41.3297,29
1500131,-49.5333,-48.3933,15,4101101,-23.0533,-50.2304,41
4200101,-26.5716,-52.3229,42,2901353,-10.3482,-39.8391,29
3100302,-20.2996,-42.4743,31,3102605,-22.0695,-46.5724,31
2600054,-79.0072,-34.8984,26,3502101,-20.8948,-51.3786,35
1700251,-96.2101,-49.1518,17,4300661,-28.6283,-51.5797,43
3100401,-20.359,-43.1439,31,3102803,-21.7411,-44.3117,31
2100055,-49.4714,-47.5004,21,3502200,-23.4917,-48.4139,35
2900306,-11.6575,-38.0197,29,3102852,-17.7279,-42.2641,31
1500206,-19.5383,-48.1985,15,5000856,-22.1527,-53.7708,50
2300150,-42.2083,-38.7055,23,2601003,-88.8429,-36.2902,26
2300200,-288.769,-401.183,23,4200903,-275.704,-489.879,42
2400109,-64.282,-366.347,24,2901403,-120.063,-447.003,29
2200053,-821.954,-410.831,22,2200608,-608.786,-42.74,22
4300034,-318.665,-541.615,43,1701051,-639.179,-478.611,17
2300309,-608.911,-39.448,23,2400802,-565.792,-366.094,24
5100102,-15.194,-563.632,51,3300100,-230.011,-443.196,33
1200013,-982.581,-668.972,12,2901502,-121.462,-392.462,29
5200134,-17.396,-503.749,52,4101150,-231.946,-519.154,41
2400208,-558.362,-36.914,24,5201207,-183.339,-482.204,52
3100500,-190.671,-425.419,31,3502309,-22.793,-481.336,35
3500105,-21.682,-510.737,35,3502408,-222.934,-513.895,35
5200159,-164.127,-501.657,52,5201306,-164.642,-499.617,52
3500204,-212.325,-496.451,35,2200707,-918.564,-430.494,22
4100202,-246.606,-489.922,41,4201000,-276.897,-511.271,42
2900355,-105.437,-381.113,29,4201109,-279.012,-491.316,42
2600104,-774.312,-37.631,26,1300102,-374.603,-616.575,13
2400307,-549.229,-365.075,24,4300703,-289.698,-520.102,43
3200102,-200.778,-411.261,32,2901601,-103.856,-383.401,29
2100105,-413.631,-433.275,21,4101200,-254.386,-487.191,41
2600203,-851.136,-410.095,26,2300804,-676.919,-39.987,23
1500305,-154.874,-503.861,15,2200806,-721.276,-441.889,22
2600302,-845.966,-359.447,26,2901700,-124.335,-391.176,29
2200103,-579.676,-426.664,22,4201208,-275.191,-48.766,42
4200200,-274.087,-49.822,42,3102902,-21.321,-437.451,31
4200309,-272.662,-49.708,42,3103009,-196.491,-428.732,31
1500347,-679.053,-504.791,15,2901809,-105.767,-402.785,29
3100609,-179.914,-423.806,31,5000906,-221.927,-559.517,50
5100201,-14.051,-521.601,51,2400901,-621.367,-378.834,24
2200202,-588.856,-42.637,22,4101309,-259.804,-501.972,41
2500106,-751.144,-376.357,25,4300802,-288.565,-512.883,43
2700102,-9.262,-37.938,27,3103108,-210.192,-421.109,31
5000203,-204.452,-52.879,50,2500775,-678.466,-380.803,25
3100708,-200.576,-481.069,31,3502507,-228.495,-452.325,35
4200408,-269.985,-515.528,42,3502606,-204.487,-508.835,35
2100154,-284.048,-421.189,21,5201405,-168.198,-492.469,52
3200169,-185.482,-409.854,32,5201454,-182.941,-511.516,52
2900405,-118.618,-387.639,29,1701101,-994.139,-479.638,17
5200175,-149.778,-477.823,52,5001003,-200.873,-510.961,50
5200209,-180.771,-487.603,52,3300159,-216.252,-421.017,33
2400406,-620.351,-382.941,24,3200508,-211.523,-415.693,32
2600401,-870.609,-355.263,26,5100805,-953.981,-574.587,51
4300059,-281.672,-52.031,43,3502705,-245.108,-488.443,35
3500303,-220.572,-469.735,35,2100832,-145.862,-450.864,21
3100807,-209.439,-453.915,31,4201257,-270.375,-493.885,42
2600500,-911.125,-371.226,26,2401008,-565.349,-377.946,24
3500402,-219.319,-467.176,35,2901908,-116.577,-380.814,29
4200507,-270.754,-529.808,42,5201504,-189.607,-519.232,52
3500501,-224.733,-466.314,35,2901957,-138.542,-397.501,29
3500550,-228.812,-492.421,35,4101408,-23.55,-514.635,41
3500600,-225.977,-478.734,35,1300144,-719.409,-59.896,13
3100906,-170.802,-409.384,31,2300903,-394.506,-394.359,23
4200556,-268.794,-528.568,42,2800209,-10.278,-370.148,28
5200258,-157.617,-482.816,52,5001102,-204.666,-557.868,50
4200606,-276.963,-488.243,42,2301000,-389.929,-383.896,23
3101003,-157.431,-414.571,31,4201273,-271.587,-521.423,42
4300109,-296.447,-532.515,43,2500809,-684.374,-353.737,25
3500709,-224.694,-489.863,35,3103207,-191.955,-442.493,31
4100301,-259.899,-493.343,41,2800308,-109.091,-370.677,28
